date,service,type
"2011-09-27 03:52:42 +0000","twitter","tweet"
"2011-09-27 03:27:31 +0000","twitter","tweet"
"2011-09-26 14:17:20 +0000","twitter","tweet"
"2011-09-26 11:18:01 +0000","twitter","tweet"
"2011-09-26 02:12:03 +0000","twitter","tweet"
"2011-09-23 11:59:03 +0000","twitter","tweet"
"2011-09-23 11:07:52 +0000","twitter","tweet"
"2011-09-23 06:51:01 +0000","twitter","tweet"
"2011-09-22 20:32:38 +0000","twitter","tweet"
"2011-09-22 20:32:04 +0000","twitter","tweet"
"2011-09-22 17:36:32 +0000","twitter","tweet"
"2011-09-22 17:31:53 +0000","twitter","tweet"
"2011-09-22 17:24:24 +0000","twitter","tweet"
"2011-09-22 17:17:06 +0000","twitter","tweet"
"2011-09-22 08:06:57 +0000","twitter","tweet"
"2011-09-22 05:11:31 +0000","twitter","tweet"
"2011-09-22 00:11:30 +0000","twitter","tweet"
"2011-09-21 18:49:11 +0000","twitter","tweet"
"2011-09-21 16:54:05 +0000","twitter","tweet"
"2011-09-21 16:50:58 +0000","twitter","tweet"
"2011-09-21 09:14:29 +0000","twitter","tweet"
"2011-09-21 08:34:24 +0000","twitter","tweet"
"2011-09-20 03:42:00 +0000","twitter","tweet"
"2011-09-19 12:08:58 +0000","twitter","tweet"
"2011-09-19 10:01:06 +0000","twitter","tweet"
"2011-09-17 08:16:30 +0000","twitter","tweet"
"2011-09-16 14:26:08 +0000","twitter","tweet"
"2011-09-16 09:10:45 +0000","twitter","tweet"
"2011-09-16 07:19:33 +0000","twitter","tweet"
"2011-09-16 06:09:07 +0000","twitter","tweet"
"2011-09-16 03:51:14 +0000","twitter","tweet"
"2011-09-16 03:36:22 +0000","twitter","tweet"
"2011-09-15 14:22:53 +0000","twitter","tweet"
"2011-09-15 11:46:37 +0000","twitter","tweet"
"2011-09-15 08:18:35 +0000","twitter","tweet"
"2011-09-15 03:50:55 +0000","twitter","tweet"
"2011-09-15 03:39:31 +0000","twitter","tweet"
"2011-09-14 15:00:53 +0000","twitter","tweet"
"2011-09-14 12:54:07 +0000","twitter","tweet"
"2011-09-14 11:27:03 +0000","twitter","tweet"
"2011-09-13 06:10:15 +0000","twitter","tweet"
"2011-09-13 03:08:07 +0000","twitter","tweet"
"2011-09-12 14:10:16 +0000","twitter","tweet"
"2011-09-12 07:06:10 +0000","twitter","tweet"
"2011-09-12 03:59:00 +0000","twitter","tweet"
"2011-09-11 09:31:57 +0000","twitter","tweet"
"2011-09-10 08:48:12 +0000","twitter","tweet"
"2011-09-10 06:52:58 +0000","twitter","tweet"
"2011-09-09 08:05:56 +0000","twitter","tweet"
"2011-09-09 03:27:06 +0000","twitter","tweet"
"2011-09-08 19:08:19 +0000","twitter","tweet"
"2011-09-08 16:28:22 +0000","twitter","tweet"
"2011-09-08 10:29:21 +0000","twitter","tweet"
"2011-09-08 10:24:49 +0000","twitter","tweet"
"2011-09-08 04:25:59 +0000","twitter","tweet"
"2011-09-08 03:26:42 +0000","twitter","tweet"
"2011-09-08 03:17:24 +0000","twitter","tweet"
"2011-09-07 09:58:16 +0000","twitter","tweet"
"2011-09-07 04:44:33 +0000","twitter","tweet"
"2011-09-07 02:18:27 +0000","twitter","tweet"
"2011-09-06 06:01:33 +0000","twitter","tweet"
"2011-09-06 04:25:47 +0000","twitter","tweet"
"2011-09-06 04:25:46 +0000","twitter","tweet"
"2011-09-05 13:52:41 +0000","twitter","tweet"
"2011-09-03 06:25:39 +0000","twitter","tweet"
"2011-09-02 11:59:10 +0000","twitter","tweet"
"2011-09-02 11:35:15 +0000","twitter","tweet"
"2011-09-02 06:03:56 +0000","twitter","tweet"
"2011-09-01 16:49:37 +0000","twitter","tweet"
"2011-09-01 10:52:55 +0000","twitter","tweet"
"2011-09-01 08:25:49 +0000","twitter","tweet"
"2011-09-01 06:40:08 +0000","twitter","tweet"
"2011-09-01 03:39:17 +0000","twitter","tweet"
"2011-09-01 03:24:44 +0000","twitter","tweet"
"2011-08-31 14:00:37 +0000","twitter","tweet"
"2011-08-31 13:46:02 +0000","twitter","tweet"
"2011-08-31 13:38:56 +0000","twitter","tweet"
"2011-08-31 09:35:00 +0000","twitter","tweet"
"2011-08-31 09:34:06 +0000","twitter","tweet"
"2011-08-31 05:40:14 +0000","twitter","tweet"
"2011-08-31 03:36:36 +0000","twitter","tweet"
"2011-08-31 02:40:23 +0000","twitter","tweet"
"2011-08-30 14:42:45 +0000","twitter","tweet"
"2011-08-30 11:15:16 +0000","twitter","tweet"
"2011-08-30 10:14:07 +0000","twitter","tweet"
"2011-08-30 10:10:32 +0000","twitter","tweet"
"2011-08-30 09:32:36 +0000","twitter","tweet"
"2011-08-30 07:18:55 +0000","twitter","tweet"
"2011-08-30 06:44:33 +0000","twitter","tweet"
"2011-08-30 04:03:49 +0000","twitter","tweet"
"2011-08-30 03:38:15 +0000","twitter","tweet"
"2011-08-30 01:18:33 +0000","twitter","tweet"
"2011-08-29 18:19:43 +0000","twitter","tweet"
"2011-08-29 10:39:04 +0000","twitter","tweet"
"2011-08-29 10:22:05 +0000","twitter","tweet"
"2011-08-29 08:45:51 +0000","twitter","tweet"
"2011-08-29 08:25:33 +0000","twitter","tweet"
"2011-08-29 07:44:12 +0000","twitter","tweet"
"2011-08-29 05:50:46 +0000","twitter","tweet"
"2011-08-29 03:34:16 +0000","twitter","tweet"
"2011-08-29 03:06:45 +0000","twitter","tweet"
"2011-08-26 06:29:11 +0000","twitter","tweet"
"2011-08-26 06:12:47 +0000","twitter","tweet"
"2011-08-25 18:04:39 +0000","twitter","tweet"
"2011-08-25 07:00:55 +0000","twitter","tweet"
"2011-08-24 10:44:33 +0000","twitter","tweet"
"2011-08-24 08:07:06 +0000","twitter","tweet"
"2011-08-24 07:56:44 +0000","twitter","tweet"
"2011-08-24 07:37:15 +0000","twitter","tweet"
"2011-08-24 07:28:35 +0000","twitter","tweet"
"2011-08-24 06:07:16 +0000","twitter","tweet"
"2011-08-23 14:18:14 +0000","twitter","tweet"
"2011-08-23 14:16:57 +0000","twitter","tweet"
"2011-08-23 08:18:38 +0000","twitter","tweet"
"2011-08-23 07:40:59 +0000","twitter","tweet"
"2011-08-23 02:26:21 +0000","twitter","tweet"
"2011-08-22 14:35:48 +0000","twitter","tweet"
"2011-08-22 14:06:16 +0000","twitter","tweet"
"2011-08-22 06:54:23 +0000","twitter","tweet"
"2011-08-22 02:17:23 +0000","twitter","tweet"
"2011-08-19 13:58:15 +0000","twitter","tweet"
"2011-08-19 05:49:34 +0000","twitter","tweet"
"2011-08-19 05:41:52 +0000","twitter","tweet"
"2011-08-16 13:52:09 +0000","twitter","tweet"
"2011-08-15 07:51:23 +0000","twitter","tweet"
"2011-08-15 00:40:48 +0000","twitter","tweet"
"2011-08-14 12:44:12 +0000","twitter","tweet"
"2011-08-14 12:14:31 +0000","twitter","tweet"
"2011-08-14 01:02:12 +0000","twitter","tweet"
"2011-08-13 10:02:53 +0000","twitter","tweet"
"2011-08-12 05:29:32 +0000","twitter","tweet"
"2011-08-12 03:32:07 +0000","twitter","tweet"
"2011-08-12 02:13:46 +0000","twitter","tweet"
"2011-08-12 02:12:43 +0000","twitter","tweet"
"2011-08-12 02:06:19 +0000","twitter","tweet"
"2011-08-11 18:24:25 +0000","twitter","tweet"
"2011-08-11 17:54:54 +0000","twitter","tweet"
"2011-08-11 16:32:36 +0000","twitter","tweet"
"2011-08-11 16:05:11 +0000","twitter","tweet"
"2011-08-11 14:07:44 +0000","twitter","tweet"
"2011-08-11 13:55:47 +0000","twitter","tweet"
"2011-08-11 11:22:14 +0000","twitter","tweet"
"2011-08-11 02:20:12 +0000","twitter","tweet"
"2011-08-10 16:34:05 +0000","twitter","tweet"
"2011-08-10 09:18:45 +0000","twitter","tweet"
"2011-08-10 08:50:24 +0000","twitter","tweet"
"2011-08-10 04:31:55 +0000","twitter","tweet"
"2011-08-09 13:37:13 +0000","twitter","tweet"
"2011-08-09 12:24:38 +0000","twitter","tweet"
"2011-08-09 11:15:03 +0000","twitter","tweet"
"2011-08-08 09:45:14 +0000","twitter","tweet"
"2011-08-07 17:45:29 +0000","twitter","tweet"
"2011-08-07 14:41:25 +0000","twitter","tweet"
"2011-08-07 13:45:03 +0000","twitter","tweet"
"2011-08-07 13:42:29 +0000","twitter","tweet"
"2011-08-07 13:31:23 +0000","twitter","tweet"
"2011-08-07 04:56:13 +0000","twitter","tweet"
"2011-08-07 02:50:58 +0000","twitter","tweet"
"2011-08-06 05:07:43 +0000","twitter","tweet"
"2011-08-06 04:47:00 +0000","twitter","tweet"
"2011-08-06 04:21:21 +0000","twitter","tweet"
"2011-08-05 07:17:34 +0000","twitter","tweet"
"2011-08-04 05:48:37 +0000","twitter","tweet"
"2011-08-04 01:57:39 +0000","twitter","tweet"
"2011-08-03 16:28:42 +0000","twitter","tweet"
"2011-08-03 16:23:28 +0000","twitter","tweet"
"2011-08-03 16:20:32 +0000","twitter","tweet"
"2011-08-03 15:23:35 +0000","twitter","tweet"
"2011-08-03 09:39:37 +0000","twitter","tweet"
"2011-08-03 08:45:41 +0000","twitter","tweet"
"2011-08-03 03:47:21 +0000","twitter","tweet"
"2011-08-02 11:38:36 +0000","twitter","tweet"
"2011-08-02 07:02:51 +0000","twitter","tweet"
"2011-08-02 04:27:25 +0000","twitter","tweet"
"2011-08-02 03:46:26 +0000","twitter","tweet"
"2011-08-01 15:04:50 +0000","twitter","tweet"
"2011-08-01 14:59:28 +0000","twitter","tweet"
"2011-08-01 06:51:30 +0000","twitter","tweet"
"2011-08-01 04:22:31 +0000","twitter","tweet"
"2011-08-01 03:30:36 +0000","twitter","tweet"
"2011-07-31 13:48:58 +0000","twitter","tweet"
"2011-07-31 11:31:49 +0000","twitter","tweet"
"2011-07-31 10:34:01 +0000","twitter","tweet"
"2011-07-31 06:16:28 +0000","twitter","tweet"
"2011-07-31 05:06:48 +0000","twitter","tweet"
"2011-07-31 05:00:06 +0000","twitter","tweet"
"2011-07-31 04:03:08 +0000","twitter","tweet"
"2011-07-30 18:56:25 +0000","twitter","tweet"
"2011-07-30 14:26:42 +0000","twitter","tweet"
"2011-07-29 06:56:30 +0000","twitter","tweet"
"2011-07-29 06:54:13 +0000","twitter","tweet"
"2011-07-28 16:52:53 +0000","twitter","tweet"
"2011-07-28 10:23:29 +0000","twitter","tweet"
"2011-07-28 09:48:46 +0000","twitter","tweet"
"2011-07-27 07:03:53 +0000","twitter","tweet"
"2011-07-27 06:56:11 +0000","twitter","tweet"
"2011-07-27 06:38:23 +0000","twitter","tweet"
"2011-07-27 06:34:53 +0000","twitter","tweet"
"2011-07-26 03:22:36 +0000","twitter","tweet"
"2011-07-26 03:11:17 +0000","twitter","tweet"
